,video_tiktok_id
666396,6978036955258916102
808520,7156315504234351877
1025999,7163750695634554117
694382,6978357855636278534
593367,7022976384192515333
660192,6980416967752584453
682698,6945860319998741765
1337507,7217500424587234566
262782,6979616228276980997
811020,7044174883689073966
1178870,7085503668484721963
1402281,7223399468937284869
996407,7108007406176865582
737184,7225707603635047726
37751,6988277290513779973
758312,7240536371415223579
49042,7236503547108527365
1451285,7228708568734715141
541011,7207032378194283782
1450841,7206188555561979178
1414747,7088162246119099694
663046,7006253786851249409
916330,7000068204425006342
809688,7152786169057529114
737183,7240823631226473771
251991,6950009071294516482
1100560,7004341506953858310
174285,7186091961449745706
1161218,7060337629027470639
83178,7064308875436215599
232194,6944353819413204229
680112,6977885810012065030
1367276,7201931302474485034
60849,7161188336164539654
215422,7204635505508584747
1452682,7223886974191553797
1071903,7153767288468966683
737193,7224318204049444142
746174,7216005144880680234
1440779,6972958848340593926
1450843,7226150144360697130
316716,7031335820929895686
1452538,7076679471255784750
281017,7086531072695078149
688219,7222930725882907909
763555,7166298030616874286
1261299,7209022010226429230
1367135,7206104778118565162
389848,7161275525032447274
1435998,7226516142104251690
898165,7205588509447556358
1416308,7217678822982847787
1062301,7243611868428799275
350416,6982767971957492997
1435245,7039328079260519685
288917,7158235250819206442
251990,6951483371893558529
667196,6977587516698414342
559011,7096208957844278530
1367614,7110363666171596074
345091,7151399030399012101
751976,6929767267152465154
737188,7224933202371054890
1335793,7113193818069028139
877767,7212678663521832235
694344,6972283460018834694
728547,7076221769199340846
1046023,7134368944365915398
737185,7223060844148477230
1238576,7130656284965162267
736995,7074997280197119237
780027,7234309329631956230
1412635,7016307384217898246
1453242,7201321797919198506
1420961,7061909569122880814
1453554,7232872520293108997
548069,7226220167930334507
275684,6958920502018608389
672473,6972027297498991878
97256,6868350600657063173
737187,7226367363912928554
1038709,7219283136717376811
830756,7181679422964108550
831216,7128455456011619630
444676,6971974652067433733
779710,7036092604244561157
1393735,6816753392296168710
1453262,7202987999221599494
1103158,7019336993049971974
1442706,7198367062509636869
435027,6968206364762017030
669573,6984849445536025861
1177796,7014398041566366982
1366826,7161969809754721579
1362809,7236324602396331290
233298,7187140004915711238
251982,6970780755328814337
1452595,7148484198536383787
737195,7223437098731293995
1447770,7074328429570641195
1387446,7070840230173052202
51170,7197125566561062150
25885,7012060687904017669
40314,6999800810842459397
1450559,7214606481134587178
1377507,7011540083975245062
1429303,6958086677818510598
969740,6912522889480768773
1440772,7143743065809866030
281018,7157368044975705349
1336169,7084413752556326190
1104434,7236518593381338414
837448,7196406991986724102
1070779,7112237392253308206
1322489,7067755582291496239
1303685,7200747358357867782
1168483,7216675313999187227
1402754,7117017963986685230
747620,7140193008611282202
1448509,7018140389848714502
593368,7075024193196248325
252009,7008644484711877890
1405695,6990437879256255750
21493,6959356469301021957
1376872,7179620790365588741
1069597,7081363245969231110
1011047,7131771178682813702
1366641,7081758405416865070
651097,6978583279922433286
1254540,7203191217838984491
1444784,7112544451922300186
594692,7046151536564587781
1448510,7007052842049588486
1069069,7139335621100703019
671935,7008189341294005510
688114,7005547809453772037
1133884,7149200792854072618
1059634,7151608869439950086
1386895,7223482059740941614
157203,7012116564388416773
1399417,7200071811277557018
111159,6958304165630053634
101020,7168349182225354027
1451789,7204603980792466730
252891,7173054788861644078
1307501,7163429213305834798
